Contig	Start	End	Gene_Count
contig_2	720001	730000	20
contig_2	730001	740000	20
contig_2	740001	750000	14
contig_2	750001	760000	22
contig_2	760001	770000	22
contig_2	770001	780000	20
contig_2	780001	790000	22
contig_2	790001	800000	16
contig_2	800001	810000	22
contig_2	810001	820000	22
contig_2	820001	830000	18
contig_2	830001	840000	12
contig_2	840001	850000	20
contig_2	850001	860000	18
contig_2	860001	870000	20
contig_2	870001	880000	16
contig_2	880001	890000	8
contig_2	890001	900000	18
contig_2	900001	910000	14
contig_2	910001	920000	22
contig_2	920001	930000	16
contig_2	930001	940000	18
contig_2	940001	950000	20
contig_2	950001	960000	18
contig_2	960001	970000	16
contig_2	970001	980000	16
contig_2	980001	990000	20
contig_2	990001	1000000	28
contig_2	1000001	1010000	14
contig_2	1010001	1020000	14
contig_2	1020001	1030000	18
contig_2	1030001	1040000	20
contig_2	1040001	1050000	22
contig_2	1050001	1060000	18
contig_2	1060001	1070000	16
contig_2	1070001	1080000	24
contig_2	1080001	1090000	22
contig_2	1090001	1100000	20
contig_2	1100001	1110000	18
contig_2	1110001	1120000	14
contig_2	1120001	1130000	24
contig_2	1130001	1140000	22
contig_2	1140001	1150000	20
contig_2	1150001	1160000	22
contig_2	1160001	1170000	20
contig_2	1170001	1180000	20
contig_2	1180001	1190000	16
contig_2	1190001	1200000	18
contig_2	1200001	1210000	20
contig_2	1210001	1220000	20
contig_2	1220001	1230000	18
contig_2	1230001	1240000	14
contig_2	1240001	1250000	22
contig_2	1250001	1260000	16
contig_2	1260001	1270000	16
contig_2	1270001	1280000	16
contig_2	1280001	1290000	18
contig_2	1290001	1300000	18
contig_2	1300001	1310000	20
contig_2	1310001	1320000	14
contig_2	1320001	1330000	14
contig_2	1330001	1340000	18
contig_2	1340001	1350000	22
contig_2	1350001	1360000	20
contig_2	1360001	1370000	12
contig_2	1370001	1380000	14
contig_2	1380001	1390000	12
contig_2	1390001	1400000	14
contig_2	1400001	1410000	18
contig_2	1410001	1420000	14
contig_2	1420001	1430000	12
contig_2	1430001	1440000	18
contig_2	1440001	1450000	18
contig_2	1450001	1460000	26
contig_2	1460001	1470000	26
contig_2	1470001	1480000	22
contig_2	1480001	1490000	10
contig_2	1490001	1500000	12
contig_2	1500001	1510000	16
contig_2	1510001	1520000	20
contig_2	1520001	1530000	20
contig_2	1530001	1540000	22
contig_2	1540001	1550000	16
contig_2	1550001	1560000	26
contig_2	1560001	1570000	14
contig_2	1570001	1580000	14
contig_2	1580001	1590000	14
contig_2	1590001	1600000	16
contig_2	1600001	1610000	16
contig_2	1610001	1620000	14
contig_2	1620001	1630000	14
contig_2	1630001	1640000	20
contig_2	1640001	1650000	18
contig_2	1650001	1660000	18
contig_2	1660001	1670000	14
contig_2	1670001	1680000	16
contig_2	1680001	1690000	14
contig_2	1690001	1700000	18
contig_2	1700001	1710000	18
contig_2	1710001	1720000	24
contig_2	1720001	1730000	20
contig_2	1730001	1740000	18
contig_2	1740001	1750000	26
contig_2	1750001	1760000	24
contig_2	1760001	1770000	20
contig_2	1770001	1780000	16
contig_2	1780001	1790000	22
contig_2	1790001	1800000	10
contig_2	1800001	1810000	14
contig_2	1810001	1820000	34
contig_2	1820001	1830000	28
contig_2	1830001	1840000	16
contig_2	1840001	1850000	24
contig_2	1850001	1860000	18
contig_2	1860001	1870000	36
contig_2	1870001	1880000	30
contig_2	1880001	1890000	28
contig_2	1890001	1900000	24
contig_2	1900001	1910000	20
contig_2	1910001	1920000	16
contig_2	1920001	1930000	12
contig_2	1930001	1940000	16
contig_2	1940001	1950000	20
contig_2	1950001	1960000	26
contig_2	1960001	1970000	20
contig_2	1970001	1980000	18
contig_2	1980001	1990000	20
contig_2	1990001	2000000	24
contig_2	2000001	2010000	12
contig_2	2010001	2020000	16
contig_2	2020001	2030000	18
contig_2	2030001	2040000	20
contig_2	2040001	2050000	16
contig_2	2050001	2060000	20
contig_2	2060001	2070000	18
contig_2	2070001	2080000	16
contig_2	2080001	2090000	18
contig_2	2090001	2100000	26
contig_2	2100001	2110000	42
contig_2	2110001	2120000	18
contig_2	2120001	2130000	20
contig_2	2130001	2140000	16
contig_2	2140001	2150000	16
contig_2	2150001	2160000	18
contig_2	2160001	2170000	24
contig_2	2170001	2180000	18
contig_2	2180001	2190000	10
contig_2	2190001	2200000	18
contig_2	2200001	2210000	14
contig_2	2210001	2220000	20
contig_2	2220001	2230000	22
contig_2	2230001	2240000	16
contig_2	2240001	2250000	18
contig_2	2250001	2260000	18
contig_2	2260001	2270000	16
contig_2	2270001	2280000	20
contig_2	2280001	2290000	18
contig_2	2290001	2300000	20
contig_2	2300001	2310000	18
contig_2	2310001	2320000	16
contig_2	2320001	2330000	18
contig_2	2330001	2340000	20
contig_2	2340001	2350000	24
contig_2	2350001	2360000	22
contig_2	2360001	2370000	18
contig_2	2370001	2380000	16
contig_2	2380001	2390000	22
contig_2	2390001	2400000	14
contig_2	2400001	2410000	18
contig_2	2410001	2420000	24
contig_2	2420001	2430000	16
contig_2	2430001	2440000	18
contig_2	2440001	2450000	18
contig_2	2450001	2460000	26
contig_2	2460001	2470000	20
contig_2	2470001	2480000	24
contig_2	2480001	2490000	22
contig_2	2490001	2500000	10
contig_2	2500001	2510000	16
contig_2	2510001	2520000	26
contig_2	2520001	2530000	16
contig_2	2530001	2540000	18
contig_2	2540001	2550000	12
contig_2	2550001	2560000	20
contig_2	2560001	2570000	22
contig_2	2570001	2580000	6
contig_2	2580001	2590000	12
contig_2	2590001	2600000	10
contig_2	2600001	2610000	18
contig_2	2610001	2620000	10
contig_2	2620001	2630000	16
contig_2	2630001	2640000	16
contig_2	2640001	2650000	12
contig_2	2650001	2660000	22
contig_2	2660001	2670000	16
contig_2	2670001	2680000	20
contig_2	2680001	2690000	10
contig_2	2690001	2700000	24
contig_2	2700001	2710000	18
contig_2	2710001	2720000	16
contig_2	2720001	2730000	16
contig_2	2730001	2740000	20
contig_2	2740001	2750000	16
contig_2	2750001	2760000	16
contig_2	2760001	2770000	12
contig_2	2770001	2780000	10
contig_2	2780001	2790000	24
contig_2	2790001	2800000	18
contig_2	2800001	2810000	12
contig_2	2810001	2820000	30
contig_2	2820001	2830000	32
contig_2	2830001	2840000	16
contig_2	2840001	2850000	24
contig_2	2850001	2860000	18
contig_2	2860001	2870000	18
contig_2	2870001	2880000	20
contig_2	2880001	2890000	22
contig_2	2890001	2900000	14
contig_2	2900001	2910000	16
contig_2	2910001	2920000	18
contig_2	2920001	2930000	22
contig_2	2930001	2940000	12
contig_2	2940001	2950000	20
contig_2	2950001	2960000	12
contig_2	2960001	2970000	12
contig_2	2970001	2980000	18
contig_2	2980001	2990000	24
contig_2	2990001	3000000	18
contig_2	3000001	3010000	20
contig_2	3010001	3020000	24
contig_2	3020001	3030000	14
contig_2	3030001	3040000	22
contig_2	3040001	3050000	22
contig_2	3050001	3060000	24
contig_2	3060001	3070000	14
contig_2	3070001	3080000	14
contig_2	3080001	3090000	18
contig_2	3090001	3100000	10
contig_2	3100001	3110000	20
contig_2	3110001	3120000	18
contig_2	3120001	3130000	18
contig_2	3130001	3140000	22
contig_2	3140001	3150000	18
contig_2	3150001	3160000	18
contig_2	3160001	3170000	22
contig_2	3170001	3180000	18
contig_2	3180001	3190000	16
contig_2	3190001	3200000	18
contig_2	3200001	3210000	16
contig_2	3210001	3220000	10
contig_2	3220001	3230000	18
contig_2	3230001	3240000	18
contig_2	3240001	3250000	12
contig_2	3250001	3260000	38
contig_2	3260001	3270000	24
contig_2	3270001	3280000	16
contig_2	3280001	3290000	24
contig_2	3290001	3300000	18
contig_2	3300001	3310000	24
contig_2	3310001	3320000	16
contig_2	3320001	3330000	14
contig_2	3330001	3340000	14
contig_2	3340001	3350000	14
contig_2	3350001	3360000	22
contig_2	3360001	3370000	12
contig_2	3370001	3380000	12
contig_2	3380001	3390000	18
contig_2	3390001	3400000	20
contig_2	3400001	3410000	16
contig_2	3410001	3420000	16
contig_2	3420001	3430000	22
contig_2	3430001	3440000	16
contig_2	3440001	3450000	14
contig_2	3450001	3460000	20
contig_2	3460001	3470000	22
contig_2	3470001	3480000	22
contig_2	3480001	3490000	18
contig_2	3490001	3500000	22
contig_2	3500001	3510000	20
contig_2	3510001	3520000	16
contig_2	3520001	3530000	10
contig_2	3530001	3540000	26
contig_2	3540001	3550000	24
contig_2	3550001	3560000	22
contig_2	3560001	3570000	22
contig_2	3570001	3580000	26
contig_2	3580001	3590000	12
contig_2	3590001	3600000	10
contig_2	3600001	3610000	20
contig_2	3610001	3620000	18
contig_2	3620001	3630000	8
contig_2	3630001	3640000	18
contig_2	3640001	3650000	20
contig_2	3650001	3660000	14
contig_2	3660001	3670000	16
contig_2	3670001	3680000	24
contig_2	3680001	3690000	18
contig_2	3690001	3700000	18
contig_2	3700001	3710000	18
contig_2	3710001	3720000	16
contig_2	3720001	3730000	20
contig_2	3730001	3740000	8
contig_2	3740001	3750000	6
contig_2	3750001	3760000	18
contig_2	3760001	3770000	18
contig_2	3770001	3780000	18
contig_2	3780001	3790000	18
contig_2	3790001	3800000	20
contig_2	3800001	3810000	14
contig_2	3810001	3820000	14
contig_2	3820001	3830000	0
contig_2	3830001	3840000	18
contig_2	3840001	3850000	18
contig_2	3850001	3860000	22
contig_2	3860001	3870000	16
contig_2	3870001	3880000	20
contig_2	3880001	3890000	16
contig_2	3890001	3900000	26
contig_2	3900001	3910000	20
contig_2	3910001	3920000	18
contig_2	3920001	3930000	18
contig_2	3930001	3940000	14
contig_2	3940001	3950000	20
contig_2	3950001	3960000	18
contig_2	3960001	3970000	26
contig_2	3970001	3980000	10
contig_2	3980001	3990000	8
contig_2	3990001	4000000	18
contig_2	4000001	4010000	14
contig_2	4010001	4020000	22
contig_2	4020001	4030000	20
contig_2	4030001	4040000	22
contig_2	4040001	4050000	18
contig_2	4050001	4060000	18
contig_2	4060001	4070000	14
contig_2	4070001	4080000	24
contig_2	4080001	4090000	20
contig_2	4090001	4100000	20
contig_2	4100001	4110000	26
contig_2	4110001	4120000	16
contig_2	4120001	4130000	24
contig_2	4130001	4140000	18
contig_2	4140001	4150000	14
contig_2	4150001	4160000	16
contig_2	4160001	4170000	20
contig_2	4170001	4180000	12
contig_2	4180001	4190000	20
contig_2	4190001	4200000	26
contig_2	4200001	4210000	16
contig_2	4210001	4220000	16
contig_2	4220001	4230000	18
contig_2	4230001	4240000	20
contig_2	4240001	4250000	24
contig_2	4250001	4260000	18
contig_2	4260001	4270000	28
contig_2	4270001	4280000	10
contig_2	4280001	4290000	12
contig_2	4290001	4300000	22
contig_2	4300001	4310000	20
contig_2	4310001	4320000	20
contig_2	4320001	4330000	20
contig_2	4330001	4340000	18
contig_2	4340001	4350000	26
contig_2	4350001	4360000	18
contig_2	4360001	4370000	16
contig_2	4370001	4380000	18
contig_2	4380001	4390000	18
contig_2	4390001	4400000	20
contig_2	4400001	4410000	14
contig_2	4410001	4420000	18
contig_2	4420001	4430000	18
contig_2	4430001	4440000	22
contig_2	4440001	4450000	20
contig_2	4450001	4460000	28
contig_2	4460001	4470000	18
contig_2	4470001	4480000	18
contig_2	4480001	4490000	16
contig_2	4490001	4500000	10
contig_2	4500001	4510000	18
contig_2	4510001	4520000	12
contig_2	4520001	4530000	18
contig_2	4530001	4540000	12
contig_2	4540001	4550000	14
contig_2	4550001	4560000	12
contig_2	4560001	4570000	24
contig_2	4570001	4580000	20
contig_2	4580001	4590000	18
contig_2	4590001	4600000	6
contig_2	4600001	4610000	16
contig_2	4610001	4620000	18
contig_2	4620001	4630000	22
contig_2	4630001	4640000	24
contig_2	4640001	4650000	18
contig_2	4650001	4660000	14
contig_2	4660001	4670000	18
contig_2	4670001	4680000	22
contig_2	4680001	4690000	14
contig_2	4690001	4700000	10
contig_2	4700001	4710000	18
contig_2	4710001	4720000	18
contig_2	4720001	4730000	26
contig_2	4730001	4740000	12
contig_2	4740001	4750000	24
contig_2	4750001	4760000	22
contig_2	4760001	4770000	16
contig_2	4770001	4780000	14
contig_2	4780001	4790000	14
contig_2	4790001	4800000	22
contig_2	4800001	4810000	14
contig_2	4810001	4820000	18
contig_2	4820001	4830000	22
contig_2	4830001	4840000	18
contig_2	4840001	4850000	20
contig_2	4850001	4860000	18
contig_2	4860001	4870000	18
contig_2	4870001	4880000	16
contig_2	4880001	4890000	18
contig_2	4890001	4900000	22
contig_2	4900001	4910000	22
contig_2	4910001	4920000	22
contig_2	4920001	4930000	24
contig_2	4930001	4940000	16
contig_2	4940001	4950000	20
contig_2	4950001	4960000	14
contig_2	4960001	4970000	16
contig_2	4970001	4980000	14
contig_2	4980001	4990000	20
contig_2	4990001	5000000	12
contig_2	5000001	5010000	22
contig_2	5010001	5020000	20
contig_2	5020001	5030000	20
contig_2	5030001	5040000	16
contig_2	5040001	5050000	22
contig_2	5050001	5060000	24
contig_2	5060001	5070000	12
contig_2	5070001	5080000	26
contig_2	5080001	5090000	22
contig_2	5090001	5100000	24
contig_2	5100001	5110000	18
contig_2	5110001	5120000	20
contig_2	5120001	5130000	16
contig_2	5130001	5140000	14
contig_2	5140001	5150000	22
contig_2	5150001	5160000	18
contig_2	5160001	5160825	2
