transition,change_mode,old_gene_id,new_gene_id,reason_category,reason_detail,reason_source,confidence,bbh_pid,bbh_evalue,bbh_cov,old_reaction_count,new_reaction_count,old_reaction_ids,new_reaction_ids
DSM123 -> updated_consensus,add,,RPE_RS10605,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,ALAALAr
DSM123 -> updated_consensus,add,,RPE_RS10775,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,2,,TMDS | TMDS3
DSM123 -> updated_consensus,add,,RPE_RS10905,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,TMDS
DSM123 -> updated_consensus,add,,RPE_RS10920,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,2,,DHFR | FOLR2
DSM123 -> updated_consensus,add,,RPE_RS10975,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,R05224_1
DSM123 -> updated_consensus,add,,RPE_RS11060,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,2,,PPK2r | PPKr
DSM123 -> updated_consensus,add,,RPE_RS11180,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,PRE3BS
DSM123 -> updated_consensus,add,,RPE_RS11190,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,R05219
DSM123 -> updated_consensus,add,,RPE_RS11195,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,COBALT2abcpp
DSM123 -> updated_consensus,add,,RPE_RS11240,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,THRPDC
DSM123 -> updated_consensus,add,,RPE_RS11935,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,PC
DSM123 -> updated_consensus,add,,RPE_RS12030,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,GTHPi
DSM123 -> updated_consensus,add,,RPE_RS12980,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,U23GAAT
DSM123 -> updated_consensus,add,,RPE_RS13050,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,NADFADOR
DSM123 -> updated_consensus,add,,RPE_RS14255,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,MNabc
DSM123 -> updated_consensus,add,,RPE_RS14260,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,MNabc
DSM123 -> updated_consensus,add,,RPE_RS14265,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,MNabc
DSM123 -> updated_consensus,add,,RPE_RS14270,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,MNabc
DSM123 -> updated_consensus,add,,RPE_RS14350,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,2HPTCOAT
DSM123 -> updated_consensus,add,,RPE_RS14880,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,S2FE2SR | S2FE2SS | S2FE2SS2
DSM123 -> updated_consensus,add,,RPE_RS14885,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,S2FE2SR | S2FE2SS | S2FE2SS2
DSM123 -> updated_consensus,add,,RPE_RS14890,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,4,,S2FE2SR | S2FE2SS | S2FE2SS2 | SCYSDS
DSM123 -> updated_consensus,add,,RPE_RS14895,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,4,,S2FE2SR | S2FE2SS | S2FE2SS2 | SCYSDS
DSM123 -> updated_consensus,add,,RPE_RS14900,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,S2FE2SR | S2FE2SS | S2FE2SS2
DSM123 -> updated_consensus,add,,RPE_RS14910,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,S2FE2SR | S2FE2SS | S2FE2SS2
DSM123 -> updated_consensus,add,,RPE_RS15240,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,AMMQT8
DSM123 -> updated_consensus,add,,RPE_RS15275,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,PPK2
DSM123 -> updated_consensus,add,,RPE_RS15295,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,SPMDt3pp
DSM123 -> updated_consensus,add,,RPE_RS15510,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,FLDR2 | POR5 | RNTR1c2 | RNTR2c2 | RNTR3c2 | RNTR4c2
DSM123 -> updated_consensus,add,,RPE_RS15525,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,NADFADOR
DSM123 -> updated_consensus,add,,RPE_RS15565,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,OBTFL | OCTDPS | PFL
DSM123 -> updated_consensus,add,,RPE_RS15570,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,2,,OBTFL | PFL
DSM123 -> updated_consensus,add,,RPE_RS15620,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,MEPNabcpp
DSM123 -> updated_consensus,add,,RPE_RS15625,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,MEPNabcpp
