constraint_type,reaction_id,pathway,enzyme_name,ec_number,dsm123_locus_tags,rnaseq_locus_tags,parameter_origin_category,source_database_literature_or_accession,reference_organism_or_strain,parameter_origin_note,parameter_status,exact_record_verification_status,specific_record_id,specific_record_url,assay_variant_or_state,model_parameter_role,exact_record_verification_note,kcat_s_inv,kcat_forward_s_inv,kcat_reverse_s_inv,directional_kcat_by_substrate,km_mM_by_substrate,substrate_concentration_mM_used,substrate_concentration_source,rnaseq_6h_expression,rnaseq_allocation_fraction,biomass_protein_fraction_g_per_gDW,enzyme_pool_fraction_of_biomass_protein,estimated_enzyme_mw_kDa,allocated_enzyme_mass_g_per_gDW,enzyme_umol_per_gDW,vmax_mmol_gDW_h,vmax_forward_mmol_gDW_h,vmax_reverse_mmol_gDW_h,parameter_input_file,vmax_calculation,effective_bound_equation,kinetic_reference_note
Enzyme Michaelis-Menten capacity,TALA,CBB,Transaldolase,2.2.1.2,ACXYSJ_07555,PGIDNB_07505,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=2.2.1.2&r=719298,Escherichia coli,Borrowed representative parameters from Escherichia coli; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",13.0,13.0,13.0,,g3p_c: 1.9 mM,g3p_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=2.2.1.2&r=719298,6775.789539333334,0.02884202142715793,0.5112,1.0,104.5,0.014744041353563133,0.14109130481878596,6.603073065519182,6.603073065519182,6.603073065519182,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,SBP,CBB,Sedoheptulose-bisphosphatase,3.1.3.37,ACXYSJ_13375,PGIDNB_13255,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=3.1.3.37&r=729720,Synechocystis sp.,Borrowed representative parameters from Synechocystis sp.; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",4.2,4.2,4.2,,s17bp_c: 0.024 mM,s17bp_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=3.1.3.37&r=729720,695.8648361333334,0.002962038356955525,0.5112,1.0,36.74,0.0015141940080756644,0.04121377267489561,0.6231522428444217,0.6231522428444217,0.6231522428444217,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,FBP,CBB,Fructose-bisphosphatase,3.1.3.11,ACXYSJ_13375,PGIDNB_13255,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=3.1.3.11&r=729720,Synechocystis sp.,Borrowed representative parameters from Synechocystis sp.; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",10.5,10.5,10.5,,fdp_c: 0.08 mM,fdp_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=3.1.3.11&r=729720,695.8648361333334,0.002962038356955525,0.5112,1.0,36.74,0.0015141940080756644,0.04121377267489561,1.557880607111054,1.557880607111054,1.557880607111054,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,TPI,CBB,Triose-phosphate isomerase,5.3.1.1,ACXYSJ_11435,PGIDNB_11355,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=5.3.1.1&r=682773,Helicobacter pylori,Borrowed representative parameters from Helicobacter pylori; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",1470.0,1470.0,1470.0,,g3p_c: 3.46 mM,g3p_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=5.3.1.1&r=682773,525.3306872666667,0.0022361377741345195,0.5112,1.0,28.38,0.0011431136301375663,0.04027884531844843,213.1556494252291,213.1556494252291,213.1556494252291,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,PGM,CBB,Phosphoglycerate mutase,5.4.2.12,ACXYSJ_20105,PGIDNB_19955,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=5.4.2.12&r=734842,Saccharolobus solfataricus DSM 1617,Borrowed representative parameters from Saccharolobus solfataricus DSM 1617; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",1.51,2.04,1.51,3pg_c:1.51;2pg_c:2.04,2pg_c: 0.26 mM; 3pg_c: 0.04 mM,2pg_c: 0.1 mM; 3pg_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=5.4.2.12&r=734842,35.93429608333333,0.00015295896243366935,0.5112,1.0,21.67,7.819262159609176e-05,0.003608335099035153,0.026499612967314165,0.026499612967314165,0.019614909598355094,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,ENO,CBB,Enolase,4.2.1.11,ACXYSJ_11485,PGIDNB_11405,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=4.2.1.11&r=734842,Saccharolobus solfataricus DSM 1617,Borrowed representative parameters from Saccharolobus solfataricus DSM 1617; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",31.4,50.0,31.4,pep_c:31.4;2pg_c:50,2pg_c: 0.06 mM; pep_c: 0.538 mM,2pg_c: 0.1 mM; pep_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=4.2.1.11&r=734842,2549.4641723333334,0.010852122820426946,0.5112,1.0,46.97,0.005547605185802254,0.11810954195874503,21.259717552574106,21.259717552574106,13.351102623016537,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,PYK,CBB,Pyruvate kinase,2.7.1.40,ACXYSJ_14365;ACXYSJ_19660,PGIDNB_14225;PGIDNB_19530,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=2.7.1.40&r=760784,Corynebacterium glutamicum (including ATCC 13032),Borrowed representative parameters from Corynebacterium glutamicum (including ATCC 13032); not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",5.58,5.58,5.58,,pep_c: 4.58 mM; adp_c: 0.07 mM,pep_c: 0.1 mM; adp_c: 0.5 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=2.7.1.40&r=760784,834.752199165,0.0035532303172823975,0.5112,1.0,106.59,0.0018164113381947615,0.01704110458949959,0.3423217089938677,0.3423217089938677,0.3423217089938677,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,CS,TCA,Citrate synthase,2.3.3.1,ACXYSJ_11345,PGIDNB_11270,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=2.3.3.1&r=778981,Cyanidioschyzon merolae NIES-3377,Borrowed representative parameters from Cyanidioschyzon merolae NIES-3377; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",123.4,123.4,123.4,,accoa_c: 0.0478 mM; oaa_c: 0.0077 mM,accoa_c: 0.2 mM; oaa_c: 0.05 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=2.3.3.1&r=778981,23740.21043333333,0.10105326531006849,0.5112,1.0,47.74,0.051658429226507006,1.0820785342795771,480.70256806835937,480.70256806835937,480.70256806835937,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,ACONT,TCA,Aconitate hydratase,4.2.1.3,ACXYSJ_24245;ACXYSJ_24275,PGIDNB_24115;PGIDNB_24145,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=4.2.1.3&r=775849,Cyanidioschyzon merolae NIES-3377,Borrowed representative parameters from Cyanidioschyzon merolae NIES-3377; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",7.28,7.28,7.28,,cit_c: 0.68 mM; icit_c: 0.36 mM,cit_c: 0.2 mM; icit_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=4.2.1.3&r=775849,2275.1580708333336,0.00968450354725785,0.5112,1.0,73.81,0.004950718213358213,0.06707381402734336,1.757870518028615,1.757870518028615,1.757870518028615,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,ICDHyr,TCA,Isocitrate dehydrogenase (NADP),1.1.1.42,ACXYSJ_24345,PGIDNB_24220,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=1.1.1.42&r=761403,Escherichia coli,Borrowed representative parameters from Escherichia coli; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",51.8,51.8,51.8,,icit_c: 0.0242 mM; nadp_c: 0.0121 mM,icit_c: 0.1 mM; nadp_c: 0.5 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=1.1.1.42&r=761403,6914.776643,0.029433637946352093,0.5112,1.0,21.34,0.01504647571817519,0.7050832107860914,131.48391714739031,131.48391714739031,131.48391714739031,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,AKGDH,TCA,2-oxoglutarate dehydrogenase complex,1.2.4.2,ACXYSJ_11530;ACXYSJ_24015;ACXYSJ_24040,PGIDNB_11455;PGIDNB_23875;PGIDNB_23900,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=1.2.4.2&r=762591,Escherichia coli,Borrowed representative parameters from Escherichia coli; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",0.152,0.152,0.152,,akg_c: 0.006 mM,akg_c: 0.2 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=1.2.4.2&r=762591,3110.3148566666664,0.013239456039836494,0.5112,1.0,151.03,0.006768009927564415,0.04481235468161568,0.024521320481780098,0.024521320481780098,0.024521320481780098,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,SUCOAS,TCA,Succinate-CoA ligase,6.2.1.5,ACXYSJ_24075;ACXYSJ_24090,PGIDNB_23935;PGIDNB_23950,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=6.2.1.5&r=726747,Advenella mimigardefordensis DPN7; Alcanivorax borkumensis SK2; Escherichia coli K-12,Borrowed representative parameters from Advenella mimigardefordensis DPN7; Alcanivorax borkumensis SK2; Escherichia coli K-12; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",14.3,14.3,14.3,,succ_c: 0.141 mM; atp_c: 0.055 mM; coa_c: 0.058 mM,succ_c: 0.2 mM; atp_c: 2 mM; coa_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=6.2.1.5&r=726747,2987.767265,0.012717816422168505,0.5112,1.0,76.23,0.00650134775501254,0.08528594719942988,4.39052056182665,4.39052056182665,4.39052056182665,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
