gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
RPE_RS13825,ACXYSJ_12655,72.973,148,40,0,1,148,1,148,5.879999999999999e-82,236.0,159,0.9308176100628931,<=>
RPE_RS04560,ACXYSJ_21750,87.347,1059,128,1,1,1053,1,1059,0.0,1830.0,1053,1.0056980056980056,<=>
RPE_RS11940,ACXYSJ_08385,67.069,331,93,3,1,330,1,316,6.09e-155,434.0,330,1.003030303030303,<=>
RPE_RS23950,ACXYSJ_22565,65.605,314,83,2,4,317,2,290,2.41e-130,370.0,317,0.9905362776025236,<=>
RPE_RS24420,ACXYSJ_22330,96.121,232,9,0,1,232,1,232,5.79e-160,439.0,235,0.9872340425531915,<=>
RPE_RS13025,ACXYSJ_11450,50.0,104,44,2,8,104,9,111,5.23e-14,60.1,106,0.9811320754716981,<=>
RPE_RS04500,ACXYSJ_22925,83.274,281,47,0,1,281,1,281,6.04e-174,478.0,281,1.0,<=>
RPE_RS25060,ACXYSJ_12895,26.392,485,298,21,35,494,57,507,4.4e-18,87.0,954,0.5083857442348009,->
RPE_RS26230,ACXYSJ_20520,66.667,51,17,0,7,57,7,57,1.45e-15,60.5,57,0.8947368421052632,<=>
RPE_RS17235,ACXYSJ_09790,86.207,290,40,0,1,290,1,290,8.28e-178,489.0,290,1.0,<=>
RPE_RS12830,ACXYSJ_11300,65.018,283,97,1,1,281,1,283,5.12e-112,322.0,281,1.00711743772242,<=>
RPE_RS22540,ACXYSJ_18770,51.913,183,81,2,1,182,1,177,1.4000000000000001e-59,181.0,185,0.9891891891891892,<=>
RPE_RS13695,ACXYSJ_13020,84.956,339,50,1,1,338,1,339,0.0,604.0,338,1.0029585798816567,<=>
RPE_RS22490,ACXYSJ_13830,34.155,284,166,6,190,469,6,272,1.58e-32,123.0,494,0.5748987854251012,->
RPE_RS19565,ACXYSJ_16450,27.35,234,128,11,175,389,192,402,2.01e-07,51.2,642,0.3644859813084112,->
RPE_RS05085,ACXYSJ_02265,35.417,48,31,0,6,53,84,131,6.25e-06,38.1,68,0.7058823529411765,<=>
RPE_RS18955,ACXYSJ_16330,74.051,158,39,2,18,174,14,170,1.04e-81,236.0,174,0.9080459770114943,<=>
RPE_RS19710,ACXYSJ_19260,76.72,189,44,0,1,189,1,189,7.89e-112,314.0,194,0.9742268041237113,<=>
RPE_RS02850,ACXYSJ_12725,28.664,307,181,8,1,304,2,273,1.86e-18,85.5,711,0.4317862165963432,<=>
RPE_RS14000,ACXYSJ_12480,81.923,260,47,0,4,263,2,261,6.11e-149,414.0,268,0.9701492537313433,<=>
RPE_RS05080,ACXYSJ_18050,82.379,454,77,2,1,453,1,452,0.0,748.0,453,1.0022075055187638,<=>
RPE_RS09195,ACXYSJ_16305,84.351,262,40,1,1,261,1,262,5.76e-148,411.0,261,1.003831417624521,<=>
RPE_RS07945,ACXYSJ_17235,71.564,211,57,1,3,213,4,211,2.38e-111,315.0,225,0.9377777777777778,<=>
RPE_RS21740,ACXYSJ_04105,78.261,69,15,0,1,69,1,69,4.38e-36,113.0,69,1.0,<=>
RPE_RS21595,ACXYSJ_06495,92.347,196,15,0,1,196,1,196,1.4699999999999999e-136,377.0,203,0.9655172413793104,<=>
RPE_RS23915,ACXYSJ_22600,80.977,1167,219,2,1,1165,1,1166,0.0,1828.0,1167,1.0,<=>
RPE_RS10450,ACXYSJ_05405,35.535,318,187,7,1,309,1,309,4.2399999999999996e-48,161.0,332,0.9578313253012049,->
RPE_RS03365,ACXYSJ_22755,94.541,403,22,0,1,403,1,403,0.0,753.0,403,1.0,<=>
RPE_RS22080,ACXYSJ_20660,83.849,582,94,0,1,582,1,582,0.0,996.0,594,0.9797979797979798,<=>
RPE_RS09615,ACXYSJ_15900,63.684,190,67,2,1,188,1,190,7.08e-70,207.0,188,1.0106382978723405,<=>
RPE_RS00720,ACXYSJ_01400,79.902,204,40,1,1,204,1,203,2.46e-113,319.0,206,0.9902912621359223,<=>
RPE_RS05635,ACXYSJ_24455,39.268,410,222,11,1,399,1,394,1.87e-74,239.0,497,0.8249496981891348,->
RPE_RS00180,ACXYSJ_23160,78.788,198,42,0,1,198,1,198,2.65e-114,321.0,198,1.0,<=>
RPE_RS13685,ACXYSJ_13030,81.416,113,21,0,1,113,1,113,1.35e-66,193.0,113,1.0,<=>
RPE_RS10745,ACXYSJ_08105,83.696,92,11,1,1,88,1,92,5.87e-50,149.0,88,1.0454545454545454,<=>
RPE_RS10025,ACXYSJ_15485,68.75,80,25,0,23,102,24,103,1.31e-38,122.0,102,0.7843137254901961,<=>
RPE_RS19160,ACXYSJ_11705,42.424,33,19,0,24,56,8,40,0.000358,32.0,68,0.4852941176470588,->
RPE_RS04865,ACXYSJ_05840,66.829,205,67,1,1,204,1,205,1.22e-85,249.0,215,0.9534883720930233,<=>
RPE_RS12815,ACXYSJ_11285,81.172,239,45,0,1,239,1,239,2.19e-140,390.0,239,1.0,<=>
RPE_RS00510,ACXYSJ_02115,83.333,240,39,1,1,239,1,240,5.34e-143,397.0,239,1.00418410041841,<=>
RPE_RS10010,ACXYSJ_15500,80.741,135,25,1,1,134,1,135,9.320000000000001e-73,211.0,137,0.9854014598540146,<=>
RPE_RS17900,ACXYSJ_09075,87.255,102,13,0,1,102,1,102,1.0699999999999999e-60,177.0,102,1.0,<=>
RPE_RS16355,ACXYSJ_14800,88.993,536,59,0,1,536,1,536,0.0,989.0,536,1.0,<=>
RPE_RS09465,ACXYSJ_16040,85.986,735,99,3,4,738,4,734,0.0,1273.0,753,0.9760956175298805,<=>
RPE_RS15020,ACXYSJ_13720,86.301,146,20,0,1,146,1,146,1.47e-87,249.0,147,0.9931972789115646,<=>
RPE_RS19515,ACXYSJ_19800,60.0,65,26,0,25,89,1,65,9.400000000000001e-26,88.2,92,0.7065217391304348,<=>
RPE_RS09825,ACXYSJ_15675,65.605,157,54,0,12,168,10,166,3.27e-63,189.0,168,0.9345238095238095,<=>
RPE_RS07725,ACXYSJ_17410,61.783,314,119,1,32,345,36,348,2.32e-130,374.0,353,0.8895184135977338,<=>
RPE_RS23095,ACXYSJ_22975,82.963,135,23,0,1,135,1,135,3.27e-76,219.0,135,1.0,<=>
RPE_RS00800,ACXYSJ_02385,90.741,756,70,0,1,756,1,756,0.0,1392.0,756,1.0,<=>
RPE_RS02080,ACXYSJ_00810,25.806,248,135,10,4,223,5,231,2.12e-05,43.5,418,0.5933014354066986,->
RPE_RS06365,ACXYSJ_16705,35.385,390,217,12,181,538,686,1072,1.95e-45,169.0,539,0.7235621521335807,<=>
RPE_RS16725,ACXYSJ_10315,50.0,62,31,0,17,78,1,62,6.73e-14,57.4,80,0.775,<=>
RPE_RS11740,ACXYSJ_08640,70.571,350,103,0,1,350,1,350,1.6600000000000002e-161,455.0,375,0.9333333333333333,<=>
RPE_RS24800,ACXYSJ_00850,35.526,76,49,0,171,246,47,122,4.67e-07,47.0,259,0.29343629343629346,->
RPE_RS21710,ACXYSJ_04675,86.189,391,54,0,5,395,4,394,0.0,712.0,401,0.9750623441396509,<=>
RPE_RS15380,ACXYSJ_06150,26.515,264,151,8,264,507,132,372,2.3e-13,69.7,601,0.43926788685524126,->
RPE_RS05285,ACXYSJ_05345,70.093,107,31,1,1,107,1,106,2.1999999999999998e-48,147.0,108,0.9907407407407407,<=>
RPE_RS06100,ACXYSJ_19170,43.048,374,198,4,621,983,340,709,3.9e-82,283.0,1015,0.36847290640394087,->
RPE_RS20790,ACXYSJ_05540,77.402,562,127,0,1,562,1,562,0.0,859.0,562,1.0,<=>
RPE_RS00235,ACXYSJ_23250,85.567,97,14,0,1,97,1,97,9.2e-45,137.0,97,1.0,<=>
RPE_RS11275,ACXYSJ_15155,58.095,105,44,0,1,105,1,105,3.19e-38,121.0,105,1.0,<=>
RPE_RS21135,ACXYSJ_17985,90.223,358,35,0,1,358,1,358,0.0,609.0,358,1.0,<=>
RPE_RS13910,ACXYSJ_12570,82.961,358,61,0,1,358,1,358,0.0,602.0,359,0.9972144846796658,<=>
RPE_RS17060,ACXYSJ_10000,96.278,806,25,3,1,805,1,802,0.0,1579.0,805,1.0012422360248447,<=>
RPE_RS01475,ACXYSJ_24020,44.156,77,41,2,11,86,13,88,1.44e-12,55.8,104,0.7403846153846154,<=>
RPE_RS12875,ACXYSJ_11345,90.3,433,42,0,1,433,1,433,0.0,837.0,435,0.9954022988505747,<=>
RPE_RS15165,ACXYSJ_16220,71.538,260,73,1,305,564,1,259,6.98e-101,303.0,564,0.46099290780141844,->
RPE_RS17085,ACXYSJ_09975,80.876,251,44,2,1,251,1,247,9.679999999999999e-126,354.0,251,1.0,<=>
RPE_RS18650,ACXYSJ_07460,65.753,73,25,0,1,73,1,73,2.1099999999999998e-30,99.8,80,0.9125,<=>
RPE_RS04030,ACXYSJ_01125,83.732,418,68,0,1,418,1,418,0.0,734.0,421,0.9928741092636579,<=>
RPE_RS15045,ACXYSJ_13755,75.636,275,57,4,1,267,1,273,1.08e-126,361.0,309,0.889967637540453,<=>
RPE_RS10030,ACXYSJ_15480,75.776,483,98,4,1,464,1,483,0.0,741.0,464,1.040948275862069,<=>
RPE_RS21635,ACXYSJ_17795,26.667,105,69,3,186,290,173,269,0.000147,40.4,364,0.28846153846153844,<=>
RPE_RS10150,ACXYSJ_15355,49.495,99,43,3,6,97,7,105,2.0600000000000002e-26,91.7,103,0.9611650485436893,<=>
RPE_RS20940,ACXYSJ_05260,82.103,1084,98,9,1,1024,1,1048,0.0,1771.0,1024,1.05859375,<=>
RPE_RS05300,ACXYSJ_06620,52.555,137,61,1,1,133,1,137,2.1499999999999998e-46,144.0,140,0.9785714285714285,<=>
RPE_RS23285,ACXYSJ_11855,83.802,1031,167,0,1,1031,1,1031,0.0,1744.0,1049,0.982840800762631,<=>
RPE_RS16200,ACXYSJ_07410,30.952,84,44,2,6,82,4,80,0.000553,33.1,92,0.9130434782608695,->
RPE_RS06860,ACXYSJ_06460,85.915,142,20,0,1,142,1,142,4.55e-95,268.0,142,1.0,<=>
RPE_RS14065,ACXYSJ_12415,88.923,325,36,0,1,325,1,325,0.0,596.0,325,1.0,<=>
RPE_RS11335,ACXYSJ_15080,67.508,317,97,2,47,362,3,314,8.73e-151,425.0,364,0.8708791208791209,<=>
RPE_RS02950,ACXYSJ_18235,87.195,164,21,0,1,164,1,164,1.1099999999999999e-108,304.0,164,1.0,<=>
RPE_RS20190,ACXYSJ_19100,86.08,704,98,0,1,704,1,704,0.0,1211.0,704,1.0,<=>
RPE_RS23360,ACXYSJ_16220,40.127,157,61,6,437,570,1,147,1.11e-14,72.0,732,0.21448087431693988,->
RPE_RS03190,ACXYSJ_15310,35.878,131,82,1,2,132,3,131,2.17e-17,70.5,135,0.9703703703703703,->
RPE_RS04595,ACXYSJ_21690,87.528,449,56,0,1,449,1,449,0.0,828.0,449,1.0,<=>
RPE_RS13045,ACXYSJ_11465,87.05,278,36,0,5,282,6,283,6.45e-171,471.0,286,0.972027972027972,<=>
RPE_RS17275,ACXYSJ_09750,85.821,134,19,0,14,147,15,148,6.27e-88,250.0,149,0.8993288590604027,<=>
RPE_RS15580,ACXYSJ_05905,91.601,381,32,0,6,386,5,385,0.0,702.0,386,0.9870466321243523,<=>
RPE_RS02280,ACXYSJ_01880,92.346,405,31,0,1,405,1,405,0.0,775.0,405,1.0,<=>
RPE_RS14810,ACXYSJ_21795,44.366,142,76,3,33,173,39,178,3.15e-38,128.0,197,0.7208121827411168,->
RPE_RS22640,ACXYSJ_21370,96.667,300,10,0,1,300,1,300,0.0,588.0,300,1.0,<=>
RPE_RS18695,ACXYSJ_07395,73.507,268,70,1,21,287,17,284,2.9e-137,386.0,287,0.9337979094076655,<=>
RPE_RS11625,ACXYSJ_08505,70.37,108,32,0,1,108,1,108,9.27e-50,150.0,110,0.9818181818181818,<=>
RPE_RS01935,ACXYSJ_00595,90.175,285,27,1,1,284,1,285,0.0,514.0,284,1.0035211267605635,<=>
RPE_RS09920,ACXYSJ_15590,74.923,323,81,0,8,330,6,328,0.0,510.0,333,0.96996996996997,<=>
RPE_RS21075,ACXYSJ_17745,71.315,631,180,1,1,630,3,633,0.0,907.0,636,0.9921383647798742,<=>
RPE_RS02105,ACXYSJ_20075,84.469,367,55,1,1,367,1,365,0.0,637.0,370,0.9918918918918919,<=>
RPE_RS11705,ACXYSJ_08575,80.18,333,62,2,1,331,1,331,0.0,526.0,341,0.9765395894428153,<=>
RPE_RS20620,ACXYSJ_16480,87.765,425,52,0,1,425,1,425,0.0,793.0,425,1.0,<=>
RPE_RS00085,ACXYSJ_23055,88.16,549,65,0,1,549,1,549,0.0,991.0,549,1.0,<=>
RPE_RS18470,ACXYSJ_08305,82.449,245,43,0,1,245,1,245,5.55e-149,412.0,245,1.0,<=>
RPE_RS17300,ACXYSJ_17675,60.887,248,97,0,110,357,9,256,1.68e-113,328.0,371,0.6684636118598383,->
RPE_RS12765,ACXYSJ_11240,91.726,423,35,0,5,427,1,423,0.0,799.0,427,0.990632318501171,<=>
RPE_RS15295,ACXYSJ_14320,73.529,102,27,0,1,102,1,102,1.11e-47,145.0,105,0.9714285714285714,<=>
RPE_RS06985,ACXYSJ_04895,86.176,340,44,1,1,340,1,337,2.6e-179,497.0,340,1.0,<=>
RPE_RS02305,ACXYSJ_01860,92.523,107,8,0,1,107,1,107,3.52e-70,202.0,107,1.0,<=>
RPE_RS02570,ACXYSJ_24375,81.56,141,23,1,1,138,1,141,3.3800000000000004e-70,204.0,138,1.0217391304347827,<=>
RPE_RS08500,ACXYSJ_03910,26.115,157,94,4,54,190,113,267,1.32e-06,45.4,221,0.7104072398190046,->
RPE_RS13100,ACXYSJ_11505,82.421,347,59,1,1,347,1,345,0.0,571.0,347,1.0,<=>
RPE_RS09500,ACXYSJ_02200,45.872,109,57,2,252,359,215,322,1.94e-23,96.7,370,0.2945945945945946,->
RPE_RS03430,ACXYSJ_22440,85.032,314,47,0,1,314,1,314,0.0,561.0,316,0.9936708860759493,<=>
RPE_RS19140,ACXYSJ_06825,85.631,515,74,0,1,515,1,515,0.0,939.0,515,1.0,<=>
RPE_RS24690,ACXYSJ_22960,58.791,546,221,2,373,917,354,896,0.0,680.0,929,0.5877287405812702,<=>
RPE_RS11835,ACXYSJ_08615,39.412,170,99,4,405,572,389,556,2.54e-20,92.4,588,0.2891156462585034,->
RPE_RS10980,ACXYSJ_15315,92.265,181,14,0,1,181,1,181,1.1900000000000001e-122,340.0,181,1.0,<=>
RPE_RS08035,ACXYSJ_17145,89.35,892,95,0,1,892,1,892,0.0,1550.0,892,1.0,<=>
RPE_RS07280,ACXYSJ_14060,40.417,240,137,3,353,586,371,610,4.1099999999999995e-48,175.0,601,0.39933444259567386,->
RPE_RS16560,ACXYSJ_10410,70.32,219,65,0,1,219,1,219,4.16e-114,322.0,221,0.9909502262443439,<=>
RPE_RS21530,ACXYSJ_06595,86.019,422,59,0,1,422,1,422,0.0,771.0,422,1.0,<=>
RPE_RS24060,ACXYSJ_02430,77.419,310,66,1,6,315,4,309,0.0,507.0,319,0.9717868338557993,<=>
RPE_RS22610,ACXYSJ_21340,76.923,156,36,0,1,156,1,156,1.21e-89,255.0,156,1.0,<=>
RPE_RS19630,ACXYSJ_06675,83.784,148,24,0,17,164,10,157,3.34e-86,247.0,164,0.9024390243902439,->
RPE_RS04040,ACXYSJ_01250,90.0,520,52,0,1,520,2,521,0.0,987.0,520,1.0,<=>
RPE_RS22905,ACXYSJ_17270,25.764,229,148,10,86,307,105,318,0.000293,39.3,327,0.7003058103975535,<=>
RPE_RS12070,ACXYSJ_10875,71.889,217,48,2,1,214,1,207,2.77e-97,279.0,214,1.014018691588785,<=>
RPE_RS16365,ACXYSJ_14810,74.468,141,36,0,1,141,1,141,5.3e-71,207.0,141,1.0,<=>
RPE_RS14890,ACXYSJ_13560,88.136,413,49,0,2,414,4,416,0.0,758.0,414,0.9975845410628019,<=>
RPE_RS06515,ACXYSJ_06115,56.951,223,80,2,7,213,2,224,7.05e-82,240.0,213,1.0469483568075117,->
RPE_RS03135,ACXYSJ_14010,80.0,60,12,0,1,60,1,60,1.73e-31,100.0,60,1.0,<=>
RPE_RS15425,ACXYSJ_03910,85.246,427,62,1,1,427,1,426,0.0,749.0,427,1.0,<=>
RPE_RS19890,ACXYSJ_14090,65.882,170,57,1,34,202,43,212,2.09e-64,195.0,202,0.8415841584158416,->
RPE_RS24110,ACXYSJ_22025,83.252,824,138,0,3,826,14,837,0.0,1447.0,828,0.9951690821256038,<=>
RPE_RS09630,ACXYSJ_15885,84.091,132,21,0,1,132,1,132,4e-80,229.0,136,0.9705882352941176,<=>
RPE_RS14410,ACXYSJ_11975,80.545,257,50,0,1,257,1,257,9.020000000000001e-160,441.0,263,0.9771863117870723,<=>
RPE_RS19600,ACXYSJ_19160,86.17,188,26,0,19,206,1,188,1.83e-120,337.0,211,0.8909952606635071,<=>
RPE_RS07275,ACXYSJ_17790,79.565,230,47,0,1,230,1,230,2.62e-137,382.0,234,0.9829059829059829,<=>
RPE_RS09975,ACXYSJ_15530,78.788,231,49,0,1,231,1,231,1.1699999999999998e-128,360.0,242,0.9545454545454546,<=>
RPE_RS20850,ACXYSJ_05455,82.749,684,117,1,1,683,1,684,0.0,1161.0,683,1.0014641288433381,<=>
RPE_RS02145,ACXYSJ_01995,72.727,209,56,1,1,208,1,209,1.54e-114,324.0,221,0.9457013574660633,<=>
RPE_RS24245,ACXYSJ_22155,71.007,407,112,2,24,430,4,404,0.0,536.0,430,0.9465116279069767,<=>
RPE_RS01410,ACXYSJ_23970,98.952,477,5,0,1,477,1,477,0.0,957.0,477,1.0,<=>
RPE_RS18730,ACXYSJ_07355,95.789,95,4,0,1,95,1,95,6.97e-63,182.0,95,1.0,<=>
RPE_RS18435,ACXYSJ_08795,78.909,275,55,2,1,274,1,273,1.2400000000000001e-145,406.0,277,0.9927797833935018,<=>
RPE_RS18260,ACXYSJ_03045,35.455,110,67,2,174,282,135,241,2.7e-11,59.7,287,0.3832752613240418,->
RPE_RS03425,ACXYSJ_22435,83.125,160,24,3,1,157,1,160,9.74e-92,261.0,157,1.019108280254777,<=>
RPE_RS11565,ACXYSJ_14905,74.224,322,83,0,1,322,1,322,4.87e-156,437.0,326,0.9877300613496932,<=>
RPE_RS15560,ACXYSJ_18910,64.35,331,116,2,1,331,1,329,2.95e-151,425.0,332,0.9969879518072289,<=>
RPE_RS16890,ACXYSJ_17100,60.36,222,88,0,4,225,2,223,3.92e-93,270.0,228,0.9736842105263158,->
RPE_RS10135,ACXYSJ_15370,81.39,403,75,0,1,403,1,403,0.0,637.0,403,1.0,<=>
RPE_RS07425,ACXYSJ_17605,53.509,114,53,0,1,114,1,114,2.16e-22,82.0,116,0.9827586206896551,<=>
RPE_RS20195,ACXYSJ_19105,86.435,317,43,0,1,317,1,317,0.0,540.0,317,1.0,<=>
RPE_RS04315,ACXYSJ_04525,64.87,501,162,3,1,487,1,501,0.0,605.0,490,1.0224489795918368,<=>
RPE_RS01780,ACXYSJ_00780,84.073,383,61,0,4,386,4,386,0.0,667.0,386,0.9922279792746114,<=>
RPE_RS14590,ACXYSJ_11690,75.0,120,30,0,10,129,9,128,3.11e-64,189.0,129,0.9302325581395349,<=>
RPE_RS11525,ACXYSJ_14950,85.714,315,45,0,1,315,1,315,0.0,565.0,315,1.0,<=>
RPE_RS18635,ACXYSJ_07475,73.362,931,218,6,5,906,6,935,0.0,1373.0,908,1.025330396475771,<=>
RPE_RS14550,ACXYSJ_11760,68.966,87,22,2,38,119,36,122,5.71e-38,122.0,119,0.7310924369747899,<=>
RPE_RS00815,ACXYSJ_02400,74.312,218,42,7,1,217,1,205,2.7299999999999997e-74,223.0,252,0.8650793650793651,<=>
RPE_RS12850,ACXYSJ_11320,85.042,361,51,1,1,361,1,358,0.0,625.0,361,1.0,<=>
RPE_RS12965,ACXYSJ_22435,33.028,109,66,4,60,164,35,140,1.9e-05,40.0,168,0.6488095238095238,->
RPE_RS09775,ACXYSJ_16260,52.841,176,82,1,5,179,5,180,4.52e-56,172.0,185,0.9513513513513514,<=>
RPE_RS07095,ACXYSJ_04985,75.862,203,49,0,25,227,20,222,2.52e-121,341.0,227,0.8942731277533039,<=>
RPE_RS01335,ACXYSJ_02260,63.75,80,29,0,1,80,1,80,6.9e-33,106.0,82,0.975609756097561,<=>
RPE_RS01185,ACXYSJ_02280,42.431,436,226,11,404,830,487,906,1.36e-84,286.0,833,0.5234093637454982,->
RPE_RS02385,ACXYSJ_24345,88.144,194,23,0,1,194,1,194,5.07e-110,310.0,196,0.9897959183673469,<=>
RPE_RS19410,ACXYSJ_21360,32.096,458,279,12,14,454,64,506,2.47e-71,232.0,463,0.9892008639308856,->
RPE_RS21355,ACXYSJ_11495,30.049,203,127,7,21,214,8,204,4.5e-06,43.1,216,0.9398148148148148,->
RPE_RS04780,ACXYSJ_20150,81.214,692,128,1,1,692,1,690,0.0,1186.0,692,1.0,<=>
RPE_RS23965,ACXYSJ_22545,59.091,110,42,2,1,109,1,108,1.39e-26,92.4,113,0.9734513274336283,<=>
RPE_RS05180,ACXYSJ_00005,39.758,825,421,18,1,777,1,797,2.22e-161,501.0,1007,0.8192651439920556,<=>
RPE_RS24480,ACXYSJ_02845,73.602,447,117,1,5,450,5,451,0.0,538.0,451,0.991130820399113,<=>
RPE_RS08560,ACXYSJ_16520,74.303,502,129,0,2,503,3,504,0.0,763.0,503,0.9980119284294234,<=>
RPE_RS04380,ACXYSJ_04575,76.744,344,79,1,1,344,1,343,0.0,525.0,345,0.9971014492753624,<=>
RPE_RS01485,ACXYSJ_24040,87.9,438,47,3,1,436,1,434,0.0,781.0,436,1.0045871559633028,<=>
RPE_RS07175,ACXYSJ_05645,84.298,242,37,1,1,241,1,242,7.34e-146,404.0,241,1.004149377593361,<=>
RPE_RS04950,ACXYSJ_05140,81.912,387,70,0,1,387,1,387,0.0,657.0,387,1.0,<=>
RPE_RS01570,ACXYSJ_24160,86.25,240,33,0,1,240,1,240,3.6099999999999997e-152,421.0,246,0.975609756097561,<=>
RPE_RS10445,ACXYSJ_23455,40.984,61,36,0,6,66,5,65,1.88e-05,42.4,298,0.20469798657718122,<=>
RPE_RS16145,ACXYSJ_09720,38.649,370,223,2,9,375,7,375,1.22e-67,215.0,379,0.9762532981530343,->
RPE_RS23960,ACXYSJ_22555,66.471,340,113,1,1,339,1,340,2.1999999999999998e-170,474.0,339,1.0029498525073746,<=>
RPE_RS00270,ACXYSJ_23275,75.159,157,37,1,1,157,1,155,2.98e-83,239.0,159,0.9874213836477987,<=>
RPE_RS08355,ACXYSJ_16885,86.717,399,53,0,2,400,3,401,0.0,702.0,400,0.9975,<=>
RPE_RS16835,ACXYSJ_12555,51.351,37,18,0,56,92,44,80,3.35e-07,41.6,96,0.3854166666666667,->
RPE_RS20750,ACXYSJ_05580,76.73,159,37,0,1,159,1,159,1.64e-86,247.0,159,1.0,<=>
RPE_RS05335,ACXYSJ_05310,76.744,688,140,3,1,670,1,686,0.0,1028.0,670,1.026865671641791,<=>
RPE_RS22250,ACXYSJ_04065,58.182,220,90,2,35,252,34,253,1.13e-69,212.0,254,0.8661417322834646,<=>
RPE_RS17825,ACXYSJ_09140,78.635,337,72,0,1,337,1,337,0.0,543.0,338,0.9970414201183432,<=>
RPE_RS15040,ACXYSJ_13740,83.333,222,37,0,1,222,1,222,1.9099999999999998e-137,382.0,230,0.9652173913043478,<=>
RPE_RS15820,ACXYSJ_14265,67.55,302,98,0,23,324,23,324,9.7e-148,416.0,324,0.9320987654320988,<=>
RPE_RS18660,ACXYSJ_07440,73.84,237,62,0,3,239,8,244,6.3e-116,328.0,239,0.9916317991631799,<=>
RPE_RS18940,ACXYSJ_07105,83.01,412,70,0,1,412,1,412,0.0,696.0,412,1.0,<=>
RPE_RS13725,ACXYSJ_12990,84.39,410,63,1,1,409,1,410,0.0,723.0,409,1.0024449877750612,<=>
RPE_RS06235,ACXYSJ_20920,92.308,598,46,0,1,598,1,598,0.0,1163.0,598,1.0,<=>
RPE_RS13130,ACXYSJ_11530,89.451,474,50,0,1,474,1,474,0.0,855.0,474,1.0,<=>
RPE_RS12465,ACXYSJ_14635,37.975,79,44,3,2,78,1,76,1.33e-06,39.7,88,0.8977272727272727,->
RPE_RS21095,ACXYSJ_17925,88.924,316,35,0,1,316,1,316,0.0,540.0,316,1.0,<=>
RPE_RS12695,ACXYSJ_11170,88.012,342,41,0,1,342,1,342,0.0,590.0,342,1.0,<=>
RPE_RS19180,ACXYSJ_11030,29.101,189,129,1,13,196,11,199,3.47e-21,84.3,201,0.9402985074626866,->
